station_name,station_type,longitude,latitude,elevation,antenna_number,start_date,stop_date
PI32,paperimaging,21.4280501874,-30.7209010878,1050.83,106,2014-10-03 22:00:00-07:00,
PI33,paperimaging,21.4274605685,-30.720658133,1050.53,116,2014-10-03 22:00:00-07:00,
PI34,paperimaging,21.4269815838,-30.720847398,1050.68,115,2014-10-03 22:00:00-07:00,
PI35,paperimaging,21.4269530622,-30.7210351805,1050.87,114,2014-10-03 22:00:00-07:00,
PI36,paperimaging,21.4269245405,-30.721222963,1051.05,113,2014-10-03 22:00:00-07:00,
PI37,paperimaging,21.4268959143,-30.7214107458,1051.25,126,2014-10-03 22:00:00-07:00,2016-05-04 19:00:00-07:00
PI38,paperimaging,21.4268673924,-30.7215985282,1051.45,127,2014-10-03 22:00:00-07:00,2017-02-02 16:00:00-08:00
PI39,paperimaging,21.4275084862,-30.7216473111,1051.53,41,2014-10-03 22:00:00-07:00,2016-05-04 19:00:00-07:00
PI4,paperimaging,21.428423141,-30.7206369129,1050.61,58,2014-10-03 22:00:00-07:00,
PI40,paperimaging,21.4280435486,-30.721951715,1051.94,16,2014-10-03 22:00:00-07:00,2017-02-02 16:00:00-08:00
PI41,paperimaging,21.4286686281,-30.7217324569,1051.8,13,2014-10-03 22:00:00-07:00,
PI42,paperimaging,21.4291877212,-30.7220619941,1052.04,46,2014-10-03 22:00:00-07:00,
PI43,paperimaging,21.4297229511,-30.7224024844,1052.44,124,2014-10-03 22:00:00-07:00,
PI44,paperimaging,21.4297966655,-30.7218317753,1051.87,123,2014-10-03 22:00:00-07:00,
PI45,paperimaging,21.4293087335,-30.721604915,1051.62,122,2014-10-03 22:00:00-07:00,
PI46,paperimaging,21.4292614385,-30.7214912852,1051.6,57,2014-10-03 22:00:00-07:00,
PI47,paperimaging,21.4292821043,-30.7214173145,1051.37,121,2014-10-03 22:00:00-07:00,
PI48,paperimaging,21.4292745884,-30.7212296507,1051.2,120,2014-10-03 22:00:00-07:00,
PI49,paperimaging,21.4292541215,-30.7210420297,1050.99,119,2014-10-03 22:00:00-07:00,
PI5,paperimaging,21.4285351049,-30.7206603654,1050.75,3,2014-10-03 22:00:00-07:00,
PI50,paperimaging,21.4292269148,-30.7208183371,1050.83,118,2014-10-03 22:00:00-07:00,
PI6,paperimaging,21.4285998433,-30.7205856176,1050.72,73,2014-10-03 22:00:00-07:00,
PI7,paperimaging,21.4286790203,-30.7205874316,1050.59,66,2014-10-03 22:00:00-07:00,
PI8,paperimaging,21.428674624,-30.7206324733,1050.61,117,2014-10-03 22:00:00-07:00,
PI9,paperimaging,21.4288168499,-30.7206262286,1050.7,49,2014-10-03 22:00:00-07:00,
PPA10,paperpolarized,21.4284832894,-30.7217443481,1051.65,28,2014-10-03 22:00:00-07:00,
PPA12,paperpolarized,21.4287970376,-30.7217427707,1051.7,34,2014-10-03 22:00:00-07:00,
